category1,category2,showtime,purchaseIndex1688,supplyIndex,crawl_Time
童装,儿童防晒衣/皮肤衣,2019-04-16,1216,1029,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-17,1146,1042,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-18,1252,1056,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-19,1216,1072,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-20,1216,1086,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-21,1105,1103,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-22,1048,1119,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-23,1265,1134,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-24,1350,1144,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-25,1321,1159,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-26,1299,1166,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-27,1248,1175,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-28,1052,1183,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-29,1147,1194,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-30,1141,1204,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-01,1092,1214,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-02,699,1220,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-03,862,1226,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-04,1016,1233,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-05,1113,1240,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-06,1219,1248,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-07,1258,1260,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-08,1328,1268,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-09,1236,1279,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-10,1250,1295,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-11,1229,1304,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-12,1127,1321,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-13,1052,1328,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-14,1382,1333,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-15,1353,1341,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-16,1313,1339,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-17,1385,1339,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-18,1388,1349,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-19,1135,1358,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-20,1107,1369,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-21,1252,1372,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-22,1438,1381,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-23,1404,1373,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-24,1464,1373,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-25,1387,1372,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-26,1205,1380,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-27,1098,1382,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-28,1358,1384,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-29,1404,1391,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-30,1321,1395,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-05-31,1222,1399,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-01,1146,1399,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-02,1042,1398,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-03,1026,1404,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-04,1251,1404,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-05,1323,1407,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-06,1255,1411,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-07,1076,1411,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-08,774,1413,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-09,1067,1412,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-10,1117,1415,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-11,1300,1416,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-12,1298,1419,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-13,1289,1422,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-14,1255,1427,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-06-15,1107,1430,2019-10-01 20:42:30
