公司名,编号,地区,主要产品,主要市场,交易量,交易额
"Anhui Angels Trade Co., Ltd.  ",1,Anhui,"Children's"", ' clothing,women clothing,men clothing,bags,shoes",,356,90000
"Hangzhou CHC I/E Co., Ltd.  ",1,Hangzhou,"T-Shirts,Sportswear,Dress,Down jacket,Trousers",Western Europe 100.0%,0,0
"Anhui Suntex Garment & Textile Co., Ltd.  ",1,Anhui,"apparel,fabrics,dress,shirt,coat","Western Europe 80%', 'Eastern Europe 20%",114,30000
"Huzhou Nuobo Import And Export Co., Ltd.  ",1,Huzhou,"Polyester fabric,', ""Children's"", ' Wear,Silk scarf,Kniting fabric,Lace fabric",North America 50%,36,60000
BABEENI VIETNAM COMPANY LIMITED  ,1,BABEENI,"Smocked infant clothing,hand smocked dress,smock dress,baby smock dress,smocked bishop dress","North America 60%', 'South America 30%', 'Oceania 6%",0,0
"Huzhou Deke Houseware Co., Ltd.  ",1,Huzhou,"wooden wagon wheel,wood wheel bench,Adirondack chair,Log Adirondack chair,Wooden Picnic Table and Bench","North America 55%', 'South America 15%', 'Western Europe 5%",4,300
"Yiwu YIYUAN Garment Co., Ltd.  ",1,Yiwu,"baby girls garments,little girls dresses,baby rompers,girls swimsuit,baby Hair Accessories","South America 50%', 'Western Europe 50%",78,60000
Yiwu Longge Accessories Limited  ,1,Yiwu,"sunglasses,socks,fashion jewelry,keychains,Promotional products","South America 30%', 'North America 20%', 'Western Europe 15%",293,210000
"Quanzhou Yixin Commerce & Trade Co., Ltd.  ",1,Quanzhou,Swimsuit,"North America 40.0%', 'Domestic Market 20.0%', 'Western Europe 20.0%",129,50000
"Xiamen Zhuoyue Gaofei Trading Co., Ltd.  ",1,Xiamen,"Sportswear,Women Dresses,Islamic Clothing","North America 22%', 'Mid East 15%', 'Eastern Europe 13%",118,10000
"Yiwu Pretty Clothing Co., Ltd.  ",1,Yiwu,"Yoga Pants,Sports Bra,Gym Tank Top,Sports Shirt,Gym Shorts","North America 25%', 'Eastern Europe 20%', 'Western Europe 18%",591,380000
"Anyang General International Trade Co., Ltd.  ",1,Anyang,"Baby ', 'clothes', ',Infant clothing,Baby clothing set,Baby romper,Baby wear","Western Europe 20%', 'North America 20%', 'Eastern Europe 20%",35,6000
"Yiwu Luanli Trading Co., Ltd.  ",1,Yiwu,"tactical bag,straw bag,rattan bag,women bag","North America 85%', 'Western Europe 10%', 'Southeast Asia 5%",2,100
"Dongguan Borsung Clothing Industry Co., Ltd.  ",1,Dongguan,"Baby Cloth,Toddler Cloth,Kids Cloth,Smocked Cloth,Ruffle Cloth","North America 40%', 'Central America 10%', 'Eastern Europe 10%",5,7000
"Yiwu Amysi Garments Co., Ltd  ",1,Yiwu,"adult clothing,', ""children's"", ' clothing,underwear,hats,scarves","Africa 20%', 'Eastern Asia 15%', 'South America 10%",0,0
"Hefei Aolige Trade Co., Ltd.  ",1,Hefei,"Children', ' Clothing,Baby Clothing,Toy&Doll,Adult Clothing,Home textile products","Eastern Europe 20%', 'Western Europe 20%', 'North America 20%",54,5000
"Yiwu Yiying Garments Co., Ltd.  ",1,Yiwu,"Children', ' Clothing","North America 80.0%', 'Western Europe 10.0%', 'Oceania 10.0%",131,80000
Yiwu Special4u Commodity Factory  ,1,Yiwu,"Outdoor supply,Garment","South America 10%', 'Northern Europe 10%', 'North America 10%",81,190000
Shantou Chaonan Xiashan Geertu Clothing Store  ,1,Shantou,"children', ' ', 'clothes', ',Girl dresses,', 'children', ' ', 'clothes', ' girls,', 'children', ' dress,girls clothing set","Mid East 11%', 'Southern Europe 11%', 'South Asia 11%",0,0
"Yiwu Haohao Garments Co., Ltd.  ",1,Yiwu,"Baby clothing,', 'Children', ' clothing","North America 80%', 'Domestic Market 10%', 'Northern Europe 5%",121,100000
Fuzhou Riversuny Waterproof Garments & Bag Mfg Ltd.  ,1,Fuzhou,"Garment,Bag","North America 10.0%', 'Northern Europe 10.0%', 'Eastern Europe 10.0%",15,50000
Huzhou Zhili Minimo Garment Factory  ,1,Huzhou,"kids pants,kids tops,kids clothing sets,kids coat,girls dress","North America 18%', 'South America 17%', 'Central America 11%",0,0
"Hangzhou Juanmei Import & Export Co., Ltd.  ",1,Hangzhou,"Children's"", ' Clothing","Northern Europe 80.0%', 'Eastern Europe 10.0%', 'Domestic Market 10.0%",9,1000
"Dongguan Renjie Industry Co., Ltd.  ",1,Dongguan,"Streetwear,Casual Wear,Active Wear","North America 35%', 'Oceania 29%', 'Western Europe 20%",203,150000
"Yiwu Wingtu Import & Export Co., Ltd.  ",1,Yiwu,"Scarf,Jewelry","North America 48%', 'Oceania 12%', 'Western Europe 10%",10,8000
"Haining Litian Socks Co., Ltd.  ",1,Haining,"socks,pet socks,men socks,women socks,dog socks","Western Europe 50%', 'North America 30%', 'Africa 10%",0,0
"Hangzhou Xiner Garment Co., Ltd.  ",1,Hangzhou,,,0,0
"Shishi Baohui Garment Making Co., Ltd.  ",1,Shishi,"children's"", ' wear,', ""children's"", ' knit wear,', ""children's"", ' knit set,', ""children's"", ' coat,', ""children's"", ' T-shirt","Western Europe 25%', 'Domestic Market 20%', 'Eastern Europe 15%",0,0
"Yiwu City Qing Li Garment Co., Ltd.  ",1,Yiwu,"Pettiskirt,T-shirt,Romper,Ballet Tutus,Baby ', 'clothes","Central America 10%', 'North America 10%', 'South America 10%",39,40000
"Weihai Bomi Trading Co., Ltd.  ",1,Weihai,Kid Clothing,"Domestic Market 90.0%', 'Eastern Europe 10.0%",14,2000
